source,strategy,src_codec,src_pix,res,fps,src_dur_s,out_codec,out_pix,container,gop_frames,elapsed_s,realtime_x,enc_fps,cpu_pct,gpu_pct,src_mb,out_mb,size_x,out_mbps,seek_med_ms,seek_p95_ms,seek_max_ms,spawn_ms,status
bbb_4k60_av1,remux_mp4,av1,yuv420p,3840x2160,60.0,66.03,av1,yuv420p,mp4,-,0.11,586.19,35170.9,-1,-1,72.1,72.2,1.001,8.75,163.4,350.1,358.9,65.9,ok
bbb_4k60_av1,mpeg4_g250ms,av1,yuv420p,3840x2160,60.0,66.03,mpeg4,yuv420p,mp4,15,14.73,4.48,269.0,89.0,67.2,72.1,225.0,3.12,27.26,123.1,153.2,163.9,92.5,ok
bbb_4k60_av1,mpeg4_g500ms,av1,yuv420p,3840x2160,60.0,66.03,mpeg4,yuv420p,mp4,30,14.45,4.57,274.2,83.0,89.1,72.1,189.0,2.62,22.9,139.5,163.4,170.6,98.2,ok
bbb_4k60_av1,mpeg4_g1000ms,av1,yuv420p,3840x2160,60.0,66.03,mpeg4,yuv420p,mp4,60,14.77,4.47,268.3,85.8,85.6,72.1,170.5,2.365,20.66,140.4,174.0,188.4,110.9,ok
bbb_4k60_av1,mpeg4_g500ms_q5,av1,yuv420p,3840x2160,60.0,66.03,mpeg4,yuv420p,mp4,30,14.18,4.66,279.4,81.9,86.9,72.1,163.3,2.265,19.79,143.2,160.4,184.4,90.1,ok
bbb_4k60_av1,av1_nvenc_g500ms,av1,yuv420p,3840x2160,60.0,66.03,av1,yuv420p,mp4,30,17.75,3.72,223.2,37.9,96.5,72.1,181.8,2.521,22.03,128.4,202.3,262.0,61.5,ok
bbb_4k60_av1,av1_nvenc_g1000ms,av1,yuv420p,3840x2160,60.0,66.03,av1,yuv420p,mp4,60,18.22,3.62,217.4,38.9,96.4,72.1,164.9,2.286,19.97,148.3,287.3,357.2,65.2,ok
bbb_4k60_av1,av1_nvenc_g500ms_p4,av1,yuv420p,3840x2160,60.0,66.03,av1,yuv420p,mp4,30,24.97,2.65,158.7,35.7,95.7,72.1,183.7,2.547,22.26,207.1,334.7,375.7,74.1,ok
bbb_4k60_av1,svtav1_p12_g500ms,av1,yuv420p,3840x2160,60.0,66.03,av1,yuv420p,mp4,30,49.14,1.34,80.6,82.0,87.7,72.1,84.4,1.17,10.22,104.9,176.2,189.7,69.5,ok
bbb_4k60_av1,vp9_rt_g500ms,av1,yuv420p,3840x2160,60.0,66.03,vp9,yuv420p,mkv,30,35.37,1.87,112.0,89.4,90.9,72.1,127.3,1.765,15.42,185.9,268.7,311.0,121.7,ok
bbb_4k60_vp9,remux_mp4,vp9,yuv420p,3840x2160,60.0,66.03,vp9,yuv420p,mp4,-,0.15,426.27,25575.8,-1,-1,123.3,123.4,1.0,14.95,266.7,520.1,586.3,113.7,ok
bbb_4k60_vp9,mpeg4_g250ms,vp9,yuv420p,3840x2160,60.0,66.03,mpeg4,yuv420p,mp4,15,13.13,5.03,301.7,80.2,96.5,123.3,227.7,1.846,27.59,131.8,155.9,168.5,95.6,ok
bbb_4k60_vp9,mpeg4_g500ms,vp9,yuv420p,3840x2160,60.0,66.03,mpeg4,yuv420p,mp4,30,13.55,4.87,292.4,81.1,93.3,123.3,191.2,1.55,23.16,139.3,158.5,169.2,96.9,ok
bbb_4k60_vp9,mpeg4_g1000ms,vp9,yuv420p,3840x2160,60.0,66.03,mpeg4,yuv420p,mp4,60,15.97,4.13,248.1,81.8,94.1,123.3,172.4,1.397,20.88,144.6,163.3,174.5,95.0,ok
bbb_4k60_vp9,mpeg4_g500ms_q5,vp9,yuv420p,3840x2160,60.0,66.03,mpeg4,yuv420p,mp4,30,14.96,4.41,264.9,88.9,97.2,123.3,164.5,1.334,19.93,141.0,173.9,181.0,98.2,ok
