source,strategy,src_codec,src_pix,res,fps,src_dur_s,out_codec,out_pix,container,gop_frames,elapsed_s,realtime_x,enc_fps,cpu_pct,gpu_pct,src_mb,out_mb,size_x,out_mbps,seek_med_ms,seek_p95_ms,seek_max_ms,spawn_ms,status
bbb_1080p60_vp9,remux_mkv,vp9,yuv420p,1920x1080,60.0,66.03,vp9,yuv420p,mkv,-,0.06,1156.77,69405.4,-1,-1,18.9,18.9,1.0,2.29,87.2,166.7,305.8,52.1,ok
bbb_1080p60_vp9,remux_mp4,vp9,yuv420p,1920x1080,60.0,66.03,vp9,yuv420p,mp4,-,0.06,1119.32,67158.2,-1,-1,18.9,18.9,1.003,2.29,99.7,196.0,295.3,57.1,ok
bbb_1080p60_vp9,remux_mov,vp9,yuv420p,1920x1080,60.0,66.03,,,mov,-,,,,,,18.9,,,,,,,,FAIL: [out#0/mov @ 0000023256d34300] Could not write header (incorrect codec parameters ?): Invalid argument
bbb_1080p60_vp9,mpeg4_g250ms,vp9,yuv420p,1920x1080,60.0,66.03,mpeg4,yuv420p,mp4,15,3.8,17.36,1041.4,88.2,6.2,18.9,81.6,4.325,9.88,71.9,80.4,85.3,58.3,ok
bbb_1080p60_vp9,mpeg4_g500ms,vp9,yuv420p,1920x1080,60.0,66.03,mpeg4,yuv420p,mp4,30,3.29,20.08,1204.8,79.5,5.0,18.9,67.7,3.591,8.21,72.9,86.9,90.0,62.4,ok
bbb_1080p60_vp9,mpeg4_g1000ms,vp9,yuv420p,1920x1080,60.0,66.03,mpeg4,yuv420p,mp4,60,3.63,18.17,1090.0,88.2,4.5,18.9,60.6,3.211,7.34,75.5,90.1,1071.0,64.9,ok
bbb_1080p60_vp9,mpeg4_g500ms_bf2,vp9,yuv420p,1920x1080,60.0,66.03,mpeg4,yuv420p,mp4,30,7.12,9.28,556.8,88.1,1.8,18.9,75.0,3.976,9.09,76.9,102.4,163.6,80.2,ok
bbb_1080p60_vp9,mpeg4_g500ms_q5,vp9,yuv420p,1920x1080,60.0,66.03,mpeg4,yuv420p,mp4,30,3.72,17.75,1064.7,87.9,2.8,18.9,50.9,2.699,6.17,70.8,77.1,91.7,62.0,ok
bbb_1080p60_vp9,mpeg4_g500ms_hwdec,vp9,yuv420p,1920x1080,60.0,66.03,mpeg4,yuv420p,mp4,30,3.54,18.64,1118.4,82.9,51.5,18.9,67.7,3.591,8.21,73.4,85.0,88.5,62.9,ok
bbb_1080p60_vp9,av1_nvenc_g500ms,vp9,yuv420p,1920x1080,60.0,66.03,av1,yuv420p,mp4,30,4.04,16.34,980.2,56.0,44.1,18.9,65.2,3.457,7.9,88.3,122.9,235.1,118.7,ok
bbb_1080p60_vp9,av1_nvenc_g1000ms,vp9,yuv420p,1920x1080,60.0,66.03,av1,yuv420p,mp4,60,3.94,16.75,1005.0,33.7,52.1,18.9,57.4,3.041,6.95,96.1,157.9,201.4,43.7,ok
bbb_1080p60_vp9,av1_nvenc_g500ms_p4,vp9,yuv420p,1920x1080,60.0,66.03,av1,yuv420p,mp4,30,7.67,8.61,516.5,31.5,71.4,18.9,64.9,3.441,7.86,81.9,113.7,122.0,43.2,ok
bbb_1080p60_vp9,av1_nvenc_g500ms_cpudec,vp9,yuv420p,1920x1080,60.0,66.03,av1,yuv420p,mp4,30,8.32,7.94,476.3,33.4,77.8,18.9,65.2,3.457,7.9,79.8,111.9,122.1,42.8,ok
bbb_1080p60_vp9,vp9_rt_g500ms,vp9,yuv420p,1920x1080,60.0,66.03,vp9,yuv420p,mkv,30,8.98,7.35,441.0,66.6,74.1,18.9,48.5,2.572,5.88,78.5,107.8,116.2,60.8,ok
bbb_1080p60_vp9,svtav1_p12_g500ms,vp9,yuv420p,1920x1080,60.0,66.03,av1,yuv420p,mp4,30,9.0,7.34,440.3,80.9,76.2,18.9,37.6,1.994,4.56,57.6,77.6,99.3,46.4,ok
bbb_1080p60_vp9,mjpeg_q3,vp9,yuv420p,1920x1080,60.0,66.03,mjpeg,yuvj420p,mov,-,3.89,16.99,1019.3,98.3,53.3,18.9,572.2,30.333,69.32,42.2,49.8,79.8,37.6,ok
bbb_1080p60_vp9,dnxhr_hq,vp9,yuv420p,1920x1080,60.0,66.03,dnxhd,yuv422p,mov,-,23.85,2.77,166.1,43.2,58.0,18.9,3636.2,192.768,440.52,111.1,245.6,2441.5,51.7,ok
bbb_1080p60_vp9,prores_lt,vp9,yuv420p,1920x1080,60.0,66.03,prores,yuv422p10le,mov,-,65.93,1.0,60.1,99.9,33.1,18.9,1615.6,85.65,195.73,78.6,129.2,146.8,60.3,ok
bbb_1080p60_vp9,cineform,vp9,yuv420p,1920x1080,60.0,66.03,cfhd,yuv422p10le,mov,-,10.33,6.39,383.7,99.0,26.0,18.9,3259.5,172.797,394.88,277.6,1016.9,2347.0,151.0,ok
bbb_1440p60_vp9,remux_mkv,vp9,yuv420p,2560x1440,60.0,66.03,vp9,yuv420p,mkv,-,0.08,788.08,47284.4,-1,-1,45.5,45.5,1.0,5.51,172.7,308.6,390.9,68.1,ok
bbb_1440p60_vp9,remux_mp4,vp9,yuv420p,2560x1440,60.0,66.03,vp9,yuv420p,mp4,-,0.08,780.1,46805.6,-1,-1,45.5,45.5,1.001,5.52,137.3,260.2,329.2,173.4,ok
bbb_1440p60_vp9,remux_mov,vp9,yuv420p,2560x1440,60.0,66.03,,,mov,-,,,,,,45.5,,,,,,,,FAIL: [out#0/mov @ 0000014f5c5a4000] Could not write header (incorrect codec parameters ?): Invalid argument
bbb_1440p60_vp9,mpeg4_g250ms,vp9,yuv420p,2560x1440,60.0,66.03,mpeg4,yuv420p,mp4,15,5.68,11.63,698.0,86.5,5.0,45.5,124.4,2.736,15.08,89.9,142.3,159.0,86.5,ok
bbb_1440p60_vp9,mpeg4_g500ms,vp9,yuv420p,2560x1440,60.0,66.03,mpeg4,yuv420p,mp4,30,7.14,9.25,554.9,91.4,30.8,45.5,103.9,2.284,12.58,83.6,103.8,115.7,69.7,ok
bbb_1440p60_vp9,mpeg4_g1000ms,vp9,yuv420p,2560x1440,60.0,66.03,mpeg4,yuv420p,mp4,60,5.04,13.09,785.5,81.0,25.4,45.5,93.2,2.05,11.3,85.0,100.8,111.5,63.9,ok
bbb_1440p60_vp9,mpeg4_g500ms_bf2,vp9,yuv420p,2560x1440,60.0,66.03,mpeg4,yuv420p,mp4,30,9.58,6.89,413.5,83.3,50.2,45.5,117.0,2.574,14.18,87.3,108.2,121.7,69.5,ok
bbb_1440p60_vp9,mpeg4_g500ms_q5,vp9,yuv420p,2560x1440,60.0,66.03,mpeg4,yuv420p,mp4,30,4.93,13.38,803.0,78.5,12.0,45.5,82.2,1.807,9.96,82.9,95.1,135.3,66.0,ok
bbb_1440p60_vp9,mpeg4_g500ms_hwdec,vp9,yuv420p,2560x1440,60.0,66.03,mpeg4,yuv420p,mp4,30,5.57,11.86,711.7,74.5,80.8,45.5,103.9,2.284,12.58,78.2,93.6,106.5,61.1,ok
bbb_1440p60_vp9,av1_nvenc_g500ms,vp9,yuv420p,2560x1440,60.0,66.03,av1,yuv420p,mp4,30,8.27,7.99,479.2,35.9,52.1,45.5,102.9,2.262,12.46,124.2,187.7,257.1,52.4,ok
bbb_1440p60_vp9,av1_nvenc_g1000ms,vp9,yuv420p,2560x1440,60.0,66.03,av1,yuv420p,mp4,60,6.54,10.09,605.6,48.6,49.7,45.5,91.3,2.008,11.06,138.7,281.6,296.9,49.4,ok
bbb_1440p60_vp9,av1_nvenc_g500ms_p4,vp9,yuv420p,2560x1440,60.0,66.03,av1,yuv420p,mp4,30,10.33,6.39,383.5,22.0,45.1,45.5,103.0,2.265,12.48,112.6,172.3,330.1,49.8,ok
bbb_1440p60_vp9,av1_nvenc_g500ms_cpudec,vp9,yuv420p,2560x1440,60.0,66.03,av1,yuv420p,mp4,30,6.38,10.36,621.3,38.3,41.9,45.5,102.9,2.262,12.46,125.2,221.0,330.6,54.0,ok
